issn,分类,总被引频次,影响因子,分区
1091-9392,"COMPUTER SCIENCE, INFORMATION SYSTEMS",321,1.421,4
0868-4952,"COMPUTER SCIENCE, INFORMATION SYSTEMS",462,1.386,4
1007-0214,"COMPUTER SCIENCE, INFORMATION SYSTEMS",850,1.365,4
1570-8268,"COMPUTER SCIENCE, INFORMATION SYSTEMS",961,1.348,4
1055-7148,"COMPUTER SCIENCE, INFORMATION SYSTEMS",242,1.34,4
1607-9264,"COMPUTER SCIENCE, INFORMATION SYSTEMS",747,1.301,4
1841-9836,"COMPUTER SCIENCE, INFORMATION SYSTEMS",752,1.29,4
0163-5808,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1637,1.261,4
1058-0530,"COMPUTER SCIENCE, INFORMATION SYSTEMS",722,1.255,4
1229-2370,"COMPUTER SCIENCE, INFORMATION SYSTEMS",905,1.252,4
1540-7993,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1410,1.239,4
1556-4665,"COMPUTER SCIENCE, INFORMATION SYSTEMS",420,1.216,4
1387-974X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",476,1.203,4
